State,carp,catfish,perch,sturgeon,tilapia,trout,total operations,per_carp,per_catfish,per_perch,per_sturgeon,per_tilapia,per_trout
MISSISSIPPI,3,161,,,1,1,166,1.807228916,96.98795181,0,0,0.602409639,0.602409639
ALABAMA,5,96,,,6,,107,4.672897196,89.71962617,0,0,5.607476636,0
CALIFORNIA,11,35,,7,9,15,77,14.28571429,45.45454545,0,9.090909091,11.68831169,19.48051948
TEXAS,4,37,,,12,1,54,7.407407407,68.51851852,0,0,22.22222222,1.851851852
OHIO,13,11,15,,16,7,62,20.96774194,17.74193548,24.19354839,0,25.80645161,11.29032258
NORTH CAROLINA,1,17,,1,8,34,61,1.639344262,27.86885246,0,1.639344262,13.1147541,55.73770492
PENNSYLVANIA,8,6,1,,1,38,54,14.81481481,11.11111111,1.851851852,0,1.851851852,70.37037037
WISCONSIN,,2,13,,6,26,47,0,4.255319149,27.65957447,0,12.76595745,55.31914894
ARKANSAS,9,34,2,,2,,47,19.14893617,72.34042553,4.255319149,0,4.255319149,0
FLORIDA,1,18,,2,17,2,40,2.5,45,0,5,42.5,5
GEORGIA,6,25,,,,10,41,14.63414634,60.97560976,0,0,0,24.3902439
IDAHO,,2,,5,6,21,34,0,5.882352941,0,14.70588235,17.64705882,61.76470588
VIRGINIA,,4,,,1,24,29,0,13.79310345,0,0,3.448275862,82.75862069
MICHIGAN,,4,8,,,16,28,0,14.28571429,28.57142857,0,0,57.14285714
HAWAII,,9,,3,12,3,27,0,33.33333333,0,11.11111111,44.44444444,11.11111111
NEW YORK,4,,4,,2,16,26,15.38461538,0,15.38461538,0,7.692307692,61.53846154
NEBRASKA,3,3,3,,,14,23,13.04347826,13.04347826,13.04347826,0,0,60.86956522
KENTUCKY,1,14,,,6,2,23,4.347826087,60.86956522,0,0,26.08695652,8.695652174
COLORADO,2,2,2,,6,11,23,8.695652174,8.695652174,8.695652174,0,26.08695652,47.82608696
WEST VIRGINIA,3,1,4,,,13,21,14.28571429,4.761904762,19.04761905,0,0,61.9047619
MISSOURI,3,8,1,,,8,20,15,40,5,0,0,40
TENNESSEE,1,11,,,4,4,20,5,55,0,0,20,20
OREGON,,3,,,,15,18,0,16.66666667,0,0,0,83.33333333
ILLINOIS,5,11,,,,1,17,29.41176471,64.70588235,0,0,0,5.882352941
MINNESOTA,,,8,,2,2,12,0,0,66.66666667,0,16.66666667,16.66666667
IOWA,5,1,3,,,1,10,50,10,30,0,0,10
MASSACHUSETTS,,,,,2,8,10,0,0,0,0,20,80
KANSAS,3,4,,,1,1,9,33.33333333,44.44444444,0,0,11.11111111,11.11111111
WASHINGTON,1,,,,,7,8,12.5,0,0,0,0,87.5
LOUISIANA,,7,,,2,,9,0,77.77777778,0,0,22.22222222,0
ARIZONA,,3,,,3,2,8,0,37.5,0,0,37.5,25
SOUTH CAROLINA,3,,,,3,,6,50,0,0,0,50,0
UTAH,,,,,,7,7,0,0,0,0,0,100
OKLAHOMA,3,2,,,2,,7,42.85714286,28.57142857,0,0,28.57142857,0
CONNECTICUT,,,,,,6,6,0,0,0,0,0,100
MAINE,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
INDIANA,1,,,,3,1,5,20,0,0,0,60,20
MARYLAND,,,,,3,2,5,0,0,0,0,60,40
NEW HAMPSHIRE,,,,,,4,4,0,0,0,0,0,100
SOUTH DAKOTA,1,,1,,,1,3,33.33333333,0,33.33333333,0,0,33.33333333
NEW MEXICO,,,,,1,2,3,0,0,0,0,33.33333333,66.66666667
VERMONT,,,,,,3,3,0,0,0,0,0,100
NEW JERSEY,,,,,,2,2,0,0,0,0,0,100
WYOMING,,,,,,2,2,0,0,0,0,0,100
MONTANA,,,,,,1,1,0,0,0,0,0,100
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,