Row Labels, BASS, CARP, CATFISH, PERCH, STURGEON, TILAPIA, TROUT
ALABAMA,0,0,142186309,,,97608,1960
ARIZONA,,,0,,,0,139640
ARKANSAS,,213980,104140125,,,,
CALIFORNIA,0,,3581966,,0,4759685,2541167
COLORADO,0,,0,,,0,616000
CONNECTICUT,,,,,,,99000
FLORIDA,550627,,2092200,,0,381075,0
GEORGIA,,0,1612598,0,0,0,431303
HAWAII,,,32000,,,83583,1000
IDAHO,,,0,,36114,996080,43593509
ILLINOIS,74359,,1381100,,,0,0
INDIANA,28225,,0,0,,0,0
KANSAS,,,13535,,,,
KENTUCKY,0,,1221965,,,6445,0
LOUISIANA,,,21129547,,,0,
MASSACHUSETTS,,,,,,0,28339
MICHIGAN,,,0,0,,,566000
MINNESOTA,,,,,,0,34967
MISSISSIPPI,0,0,313440745,,,0,
MISSOURI,,0,1496170,,,,771000
NEBRASKA,0,0,17283,0,,,798680
NEW HAMPSHIRE,,,0,,,,32000
NEW YORK,,,,0,,0,114391
NORTH CAROLINA,2786453,,8147182,,,1989024,4499000
OHIO,0,,59865,36126,,0,138971
OKLAHOMA,0,0,160889,,,0,
OREGON,,,0,,,,627000
PENNSYLVANIA,0,,0,0,,0,1318894
SOUTH CAROLINA,128200,,80630,,,0,0
TENNESSEE,,0,124000,,,0,103590
TEXAS,2482100,0,20108000,,,0,0
UTAH,,,0,,,,160875
VERMONT,,,,,,,3040
VIRGINIA,0,,6000,0,,0,672617
WASHINGTON,,,0,,,,4151975
WEST VIRGINIA,0,0,0,,,,454000
WISCONSIN,0,,4200,37509,,,492241